priority_rank,cve_id,version,service,cvss_score,severity,predicted_severity,priority_score,response_priority,attack_vector,attack_complexity,privileges_required,user_interaction,cwe,description
61,CVE-2009-3095,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The mod_proxy_ftp module in the Apache HTTP Server allows remote attackers to bypass intended access restrictions and send arbitrary commands to an FTP server via vectors related to the embedding of these commands in the Authorization HTTP header, as demonstrated by a certain module in VulnDisco Pack Professional 8.11."
62,CVE-2009-3560,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-119,"The big2_toUtf8 function in lib/xmltok.c in libexpat in Expat 2.0.1, as used in the XML-Twig module for Perl, allows context-dependent attackers to cause a denial of service (application crash) via an XML document with malformed UTF-8 sequences that trigger a buffer over-read, related to the doProlog function in lib/xmlparse.c, a different vulnerability than CVE-2009-2625 and CVE-2009-3720."
63,CVE-2009-3720,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The updatePosition function in lib/xmltok_impl.c in libexpat in Expat 2.0.1, as used in Python, PyXML, w3c-libwww, and other software, allows context-dependent attackers to cause a denial of service (application crash) via an XML document with crafted UTF-8 sequences that trigger a buffer over-read, a different vulnerability than CVE-2009-2625."
64,CVE-2010-0408,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The ap_proxy_ajp_request function in mod_proxy_ajp.c in mod_proxy_ajp in the Apache HTTP Server 2.2.x before 2.2.15 does not properly handle certain situations in which a client sends no request body, which allows remote attackers to cause a denial of service (backend server outage) via a crafted request, related to use of a 500 error code instead of the appropriate 400 error code."
65,CVE-2010-1623,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-119,"Memory leak in the apr_brigade_split_line function in buckets/apr_brigade.c in the Apache Portable Runtime Utility library (aka APR-util) before 1.3.10, as used in the mod_reqtimeout module in the Apache HTTP Server and other software, allows remote attackers to cause a denial of service (memory consumption) via unspecified vectors related to the destruction of an APR bucket."
66,CVE-2011-3368,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,CWE-20,"The mod_proxy module in the Apache HTTP Server 1.3.x through 1.3.42, 2.0.x through 2.0.64, and 2.2.x through 2.2.21 does not properly interact with use of (1) RewriteRule and (2) ProxyPassMatch pattern matches for configuration of a reverse proxy, which allows remote attackers to send requests to intranet servers via a malformed URI containing an initial @ (at sign) character."
67,CVE-2009-2299,2.2.8,http,5.0,MEDIUM,MEDIUM,60.0,검토 필요,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The Artofdefence Hyperguard Web Application Firewall (WAF) module before 2.5.5-11635, 3.0 before 3.0.3-11636, and 3.1 before 3.1.1-11637, a module for the Apache HTTP Server, allows remote attackers to cause a denial of service (memory consumption) via an HTTP request with a large Content-Length value but no POST data."
68,CVE-2011-4327,4.7p1 Debian 8ubuntu1,ssh,5.5,MEDIUM,MEDIUM,59.4,검토 필요,LOCAL,LOW,LOW,NONE,CWE-200,"ssh-keysign.c in ssh-keysign in OpenSSH before 5.8p2 on certain platforms executes ssh-rand-helper with unintended open file descriptors, which allows local users to obtain sensitive key information via the ptrace system call."
69,CVE-2018-20685,4.7p1 Debian 8ubuntu1,ssh,5.3,MEDIUM,MEDIUM,58.7,검토 필요,NETWORK,HIGH,NONE,REQUIRED,CWE-863,"In OpenSSH 7.9, scp.c in the scp client allows remote SSH servers to bypass intended access restrictions via the filename of . or an empty filename. The impact is modifying the permissions of the target directory on the client side."
70,CVE-2013-5882,5.0.51a-3ubuntu5,mysql,6.8,MEDIUM,LOW,57.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.13 and earlier allows remote authenticated users to affect availability via unknown vectors related to Stored Procedures.
71,CVE-2014-2532,4.7p1 Debian 8ubuntu1,ssh,4.2,MEDIUM,MEDIUM,54.1,검토 필요,NETWORK,HIGH,LOW,NONE,CWE-20,"sshd in OpenSSH before 6.6 does not properly support wildcards on AcceptEnv lines in sshd_config, which allows remote attackers to bypass intended environment restrictions by using a substring located before a wildcard character."
72,CVE-2009-0025,9.4.2,domain,6.8,MEDIUM,MEDIUM,54.0,검토 필요,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-287,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077."
73,CVE-2009-1195,2.2.8,http,4.9,MEDIUM,MEDIUM,53.5,검토 필요,LOCAL,LOW,NONE,UNKNOWN,CWE-16,"The Apache HTTP Server 2.2.11 and earlier 2.2 versions does not properly handle Options=IncludesNOEXEC in the AllowOverride directive, which allows local users to gain privileges by configuring (1) Options Includes, (2) Options +Includes, or (3) Options +IncludesNOEXEC in a .htaccess file, and then inserting an exec element in a .shtml file."
74,CVE-2011-1910,9.4.2,domain,5.0,MEDIUM,MEDIUM,53.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-189,"Off-by-one error in named in ISC BIND 9.x before 9.7.3-P1, 9.8.x before 9.8.0-P2, 9.4-ESV before 9.4-ESV-R4-P1, and 9.6-ESV before 9.6-ESV-R4-P1 allows remote DNS servers to cause a denial of service (assertion failure and daemon exit) via a negative response containing large RRSIG RRsets."
75,CVE-2011-4313,9.4.2,domain,5.0,MEDIUM,MEDIUM,53.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"query.c in ISC BIND 9.0.x through 9.6.x, 9.4-ESV through 9.4-ESV-R5, 9.6-ESV through 9.6-ESV-R5, 9.7.0 through 9.7.4, 9.8.0 through 9.8.1, and 9.9.0a1 through 9.9.0b1 allows remote attackers to cause a denial of service (assertion failure and named exit) via unknown vectors related to recursive DNS queries, error logging, and the caching of an invalid record by the resolver."
76,CVE-2012-1033,9.4.2,domain,5.0,MEDIUM,MEDIUM,53.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"The resolver in ISC BIND 9 through 9.8.1-P1 overwrites cached server names and TTL values in NS records during the processing of a response to an A record query, which allows remote attackers to trigger continued resolvability of revoked domain names via a ""ghost domain names"" attack."
77,CVE-2015-8000,9.4.2,domain,5.0,MEDIUM,MEDIUM,53.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-20,db.c in named in ISC BIND 9.x before 9.9.8-P2 and 9.10.x before 9.10.3-P2 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via a malformed class attribute.
78,CVE-2013-1570,5.0.51a-3ubuntu5,mysql,5.0,MEDIUM,MEDIUM,53.0,검토 필요,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote attackers to affect availability via unknown vectors related to MemCached.
79,CVE-2015-6563,4.7p1 Debian 8ubuntu1,ssh,6.4,MEDIUM,LOW,51.3,검토 필요,LOCAL,HIGH,HIGH,NONE,CWE-20,"The monitor component in sshd in OpenSSH before 7.0 on non-OpenBSD platforms accepts extraneous username data in MONITOR_REQ_PAM_INIT_CTX requests, which allows local users to conduct impersonation attacks by leveraging any SSH login access in conjunction with control of the sshd uid to send a crafted MONITOR_REQ_PWNAM request, related to monitor.c and monitor_wrap.c."
80,CVE-2013-3798,5.0.51a-3ubuntu5,mysql,5.8,MEDIUM,MEDIUM,49.0,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote attackers to affect integrity and availability via unknown vectors related to MemCached.
81,CVE-2007-6420,2.2.8,http,4.3,MEDIUM,MEDIUM,48.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-352,Cross-site request forgery (CSRF) vulnerability in the balancer-manager in mod_proxy_balancer for Apache HTTP Server 2.2.x allows remote attackers to gain privileges via unspecified vectors.
82,CVE-2008-2939,2.2.8,http,4.3,MEDIUM,MEDIUM,48.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-79,"Cross-site scripting (XSS) vulnerability in proxy_ftp.c in the mod_proxy_ftp module in Apache 2.0.63 and earlier, and mod_proxy_ftp.c in the mod_proxy_ftp module in Apache 2.2.9 and earlier 2.2 versions, allows remote attackers to inject arbitrary web script or HTML via a wildcard in the last directory component in the pathname in an FTP URI."
83,CVE-2009-0023,2.2.8,http,4.3,MEDIUM,MEDIUM,48.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-119,"The apr_strmatch_precompile function in strmatch/apr_strmatch.c in Apache APR-util before 1.3.5 allows remote attackers to cause a denial of service (daemon crash) via crafted input involving (1) a .htaccess file used with the Apache HTTP Server, (2) the SVNMasterURI directive in the mod_dav_svn module in the Apache HTTP Server, (3) the mod_apreq2 module for the Apache HTTP Server, or (4) an application that uses the libapreq2 library, which triggers a heap-based buffer underflow."
84,CVE-2010-0434,2.2.8,http,4.3,MEDIUM,MEDIUM,48.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-200,"The ap_read_request function in server/protocol.c in the Apache HTTP Server 2.2.x before 2.2.15, when a multithreaded MPM is used, does not properly handle headers in subrequests in certain circumstances involving a parent request that has a body, which might allow remote attackers to obtain sensitive information via a crafted request that triggers access to memory locations associated with an earlier request."
85,CVE-2011-0419,2.2.8,http,4.3,MEDIUM,MEDIUM,48.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-770,"Stack consumption vulnerability in the fnmatch implementation in apr_fnmatch.c in the Apache Portable Runtime (APR) library before 1.4.3 and the Apache HTTP Server before 2.2.18, and in fnmatch.c in libc in NetBSD 5.1, OpenBSD 4.8, FreeBSD, Apple Mac OS X 10.6, Oracle Solaris 10, and Android, allows context-dependent attackers to cause a denial of service (CPU and memory consumption) via *? sequences in the first argument, as demonstrated by attacks against mod_autoindex in httpd."
86,CVE-2011-1176,2.2.8,http,4.3,MEDIUM,MEDIUM,48.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,UNKNOWN,"The configuration merger in itk.c in the Steinar H. Gunderson mpm-itk Multi-Processing Module 2.2.11-01 and 2.2.11-02 for the Apache HTTP Server does not properly handle certain configuration sections that specify NiceValue but not AssignUserID, which might allow remote attackers to gain privileges by leveraging the root uid and root gid of an mpm-itk process."
87,CVE-2010-4755,4.7p1 Debian 8ubuntu1,ssh,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-399,"The (1) remote_glob function in sftp-glob.c and the (2) process_put function in sftp.c in OpenSSH 5.8 and earlier, as used in FreeBSD 7.3 and 8.1, NetBSD 5.0.2, OpenBSD 4.7, and other products, allow remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in SSH_FXP_STAT requests to an sftp daemon, a different vulnerability than CVE-2010-2632."
88,CVE-2012-0583,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.1.60 and earlier, and 5.5.19 and earlier, allows remote authenticated users to affect availability, related to MyISAM."
89,CVE-2012-1696,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.19 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server Optimizer.
90,CVE-2012-3144,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.26 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server.
91,CVE-2013-3795,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to Data Manipulation Language.
92,CVE-2013-3796,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server Optimizer.
93,CVE-2013-3806,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-3811."
94,CVE-2013-5767,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.12 and earlier allows remote authenticated users to affect availability via unknown vectors related to Optimizer.
95,CVE-2013-5786,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL Server 5.6.12 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-5793."
96,CVE-2013-5881,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.14 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2014-0431."
97,CVE-2013-5894,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,48.0,일반 관리,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.13 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB.
98,CVE-2008-0455,2.2.8,http,4.3,MEDIUM,LOW,43.5,일반 관리,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-79,"Cross-site scripting (XSS) vulnerability in the mod_negotiation module in the Apache HTTP Server 2.2.6 and earlier in the 2.2.x series, 2.0.61 and earlier in the 2.0.x series, and 1.3.39 and earlier in the 1.3.x series allows remote authenticated users to inject arbitrary web script or HTML by uploading a file with a name containing XSS sequences and a file extension, which leads to injection within a (1) ""406 Not Acceptable"" or (2) ""300 Multiple Choices"" HTTP response when the extension is omitted in a request for the file."
99,CVE-2010-0290,9.4.2,domain,4.0,MEDIUM,MEDIUM,43.2,일반 관리,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P5, 9.5 before 9.5.2-P2, 9.6 before 9.6.1-P3, and 9.7.0 beta, with DNSSEC validation enabled and checking disabled (CD), allows remote attackers to conduct DNS cache poisoning attacks by receiving a recursive client query and sending a response that contains (1) CNAME or (2) DNAME records, which do not have the intended validation before caching, aka Bug 20737.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2009-4022."
100,CVE-2013-3807,5.0.51a-3ubuntu5,mysql,4.0,MEDIUM,MEDIUM,43.2,일반 관리,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote attackers to affect confidentiality and integrity via unknown vectors related to Server Privileges.
101,CVE-2009-3094,2.2.8,http,2.6,LOW,MEDIUM,43.2,일반 관리,NETWORK,HIGH,NONE,UNKNOWN,CWE-476,The ap_proxy_ftp_handler function in modules/proxy/proxy_ftp.c in the mod_proxy_ftp module in the Apache HTTP Server 2.0.63 and 2.2.13 allows remote FTP servers to cause a denial of service (NULL pointer dereference and child process crash) via a malformed reply to an EPSV command.
102,CVE-2015-5352,4.7p1 Debian 8ubuntu1,ssh,4.3,MEDIUM,MEDIUM,41.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-264,"The x11_open_helper function in channels.c in ssh in OpenSSH before 6.9, when ForwardX11Trusted mode is not used, lacks a check of the refusal deadline for X connections, which makes it easier for remote attackers to bypass intended access restrictions via a connection outside of the permitted time window."
103,CVE-2009-0696,9.4.2,domain,4.3,MEDIUM,MEDIUM,41.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-16,"The dns_db_findrdataset function in db.c in named in ISC BIND 9.4 before 9.4.3-P3, 9.5 before 9.5.1-P3, and 9.6 before 9.6.1-P1, when configured as a master server, allows remote attackers to cause a denial of service (assertion failure and daemon exit) via an ANY record in the prerequisite section of a crafted dynamic update message."
104,CVE-2010-0097,9.4.2,domain,4.3,MEDIUM,MEDIUM,41.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-20,"ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P5, 9.5 before 9.5.2-P2, 9.6 before 9.6.1-P3, and 9.7.0 beta does not properly validate DNSSEC (1) NSEC and (2) NSEC3 records, which allows remote attackers to add the Authenticated Data (AD) flag to a forged NXDOMAIN response for an existing domain."
105,CVE-2010-3762,9.4.2,domain,4.3,MEDIUM,MEDIUM,41.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-20,"ISC BIND before 9.7.2-P2, when DNSSEC validation is enabled, does not properly handle certain bad signatures if multiple trust anchors exist for a single zone, which allows remote attackers to cause a denial of service (daemon crash) via a DNS query."
106,CVE-2008-0456,2.2.8,http,2.6,LOW,LOW,38.2,일반 관리,NETWORK,HIGH,NONE,UNKNOWN,CWE-74,"CRLF injection vulnerability in the mod_negotiation module in the Apache HTTP Server 2.2.6 and earlier in the 2.2.x series, 2.0.61 and earlier in the 2.0.x series, and 1.3.39 and earlier in the 1.3.x series allows remote authenticated users to inject arbitrary HTTP headers and conduct HTTP response splitting attacks by uploading a file with a multi-line name containing HTTP header sequences and a file extension, which leads to injection within a (1) ""406 Not Acceptable"" or (2) ""300 Multiple Choices"" HTTP response when the extension is omitted in a request for the file."
107,CVE-2009-0796,2.2.8,http,2.6,LOW,LOW,38.2,일반 관리,NETWORK,HIGH,NONE,UNKNOWN,CWE-79,"Cross-site scripting (XSS) vulnerability in Status.pm in Apache::Status and Apache2::Status in mod_perl1 and mod_perl2 for the Apache HTTP Server, when /perl-status is accessible, allows remote attackers to inject arbitrary web script or HTML via the URI."
108,CVE-2011-5000,4.7p1 Debian 8ubuntu1,ssh,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-189,"The ssh_gssapi_parse_ename function in gss-serv.c in OpenSSH 5.8 and earlier, when gssapi-with-mic authentication is enabled, allows remote authenticated users to cause a denial of service (memory consumption) via a large value in a certain length field.  NOTE: there may be limited scenarios in which this issue is relevant."
109,CVE-2010-2008,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-77,"MySQL before 5.1.48 allows remote authenticated users with alter database privileges to cause a denial of service (server crash and database loss) via an ALTER DATABASE command with a #mysql50# string followed by a . (dot), .. (dot dot), ../ (dot dot slash) or similar sequence, and an UPGRADE DATA DIRECTORY NAME command, which causes MySQL to move certain directories to the server data directory."
110,CVE-2012-3149,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.26 and earlier allows remote authenticated users to affect confidentiality, related to MySQL Client."
111,CVE-2012-3156,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.25 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server.
112,CVE-2013-1566,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB.
113,CVE-2013-1567,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect availability via unknown vectors related to Data Manipulation Language, a different vulnerability than CVE-2013-2395."
114,CVE-2013-2381,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect integrity via unknown vectors related to Server Privileges.
115,CVE-2013-3810,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to XA Transactions.
116,CVE-2013-3811,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-3806."
117,CVE-2013-5793,5.0.51a-3ubuntu5,mysql,3.5,LOW,LOW,32.5,일반 관리,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL Server 5.6.12 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-5786."
118,CVE-2009-4022,9.4.2,domain,2.6,LOW,LOW,31.2,일반 관리,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in ISC BIND 9.0.x through 9.3.x, 9.4 before 9.4.3-P4, 9.5 before 9.5.2-P1, 9.6 before 9.6.1-P2, and 9.7 beta before 9.7.0b3, with DNSSEC validation enabled and checking disabled (CD), allows remote attackers to conduct DNS cache poisoning attacks by receiving a recursive client query and sending a response that contains an Additional section with crafted data, which is not properly handled when the response is processed ""at the same time as requesting DNSSEC records (DO),"" aka Bug 20438."
119,CVE-2013-5770,5.0.51a-3ubuntu5,mysql,2.1,LOW,LOW,28.7,일반 관리,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to Locking.
120,CVE-2012-4452,5.0.51a-3ubuntu5,mysql,2.1,LOW,LOW,27.5,일반 관리,LOCAL,LOW,UNKNOWN,UNKNOWN,CWE-264,"MySQL 5.0.88, and possibly other versions and platforms, allows local users to bypass certain privilege checks by calling CREATE TABLE on a MyISAM table with modified (1) DATA DIRECTORY or (2) INDEX DIRECTORY arguments that are originally associated with pathnames without symlinks, and that can point to tables created at a future time at which a pathname is modified to contain a symlink to a subdirectory of the MySQL data home directory, related to incorrect calculation of the mysql_unpacked_real_data_home value.  NOTE: this vulnerability exists because of a CVE-2009-4030 regression, which was not omitted in other packages and versions such as MySQL 5.0.95 in Red Hat Enterprise Linux 6."
121,CVE-2008-3259,4.7p1 Debian 8ubuntu1,ssh,1.2,LOW,LOW,18.2,일반 관리,LOCAL,HIGH,UNKNOWN,UNKNOWN,CWE-200,"OpenSSH before 5.1 sets the SO_REUSEADDR socket option when the X11UseLocalhost configuration setting is disabled, which allows local users on some platforms to hijack the X11 forwarding port via a bind to a single IP address, as demonstrated on the HP-UX platform."
